fid,Sample_ID,Experiment_name,Date,Start_time,End_time,Climate_logger_ID,Latitude,Longitude,GPS,City,Address,Location_description,Habitat_description,Temperature,Weather,Shade,Wind,Remarks_participants,Remarks_Nelma,Imp_mean,Imp_median,Imp_stdev,Imp_min,Imp_max
1,22-10000,51.50089°,13.05.2022,9:30,11:26,"94233356",51.50089,11.95957,"51.50089, 11.95957",Halle,"Friedenstraße 33, 06114 Halle (Saale)",Giebichenstein-Gymnasium “Thomas Müntzer” Halle,"neben einem Park, Erde, Gras, Hügel, neben Sportlaufbahn","19",lightly cloudy,half-shade,strong wind,in der Anfangszeit keine einzige Ameise in der Nähe,"ID was originally 22-11024, but it was given twice so they changed it to 22-10000. 2 options chosen for wind, picked the highest",37.4193548387097,22,40.522931933499,0,100
2,22-11002,hoe Wiese gruppe 5,20.05.2022,9:56,11:56,"94226824",52.448678,13.400552,"52.44867799741529, 13.400551905982203",Berlin,"Wolfsburger Weg 13-19, 12109 Berlin",Schaetzelberg-Grundschule,Wiese vor Schule,"27",lightly cloudy,half-shade,weak wind,nach 40 min Sonne weg weniger nach 80 in die Sonne 40% Zucker nach kurzer Zeit Sonne dort auch weg ,,49.2647058823529,45,28.0304199147956,4,100
3,22-11003,Ant picnic,23.05.2022,10:58,,"94226815",52.42587,13.262709,"52.42587035287901, 13.262708539830856",Berlin,"Teltower Damm 87-93, 14167 Berlin",John F. Kennedy School (JFK-SCHULE),"Bäume, Gras, Park","18",lightly cloudy,full shade,weak wind,,"upper left corner: 3A-13; Actual data sheet empty, photocpied version filled out and stapled to it; From a search on google maps, I assume the JFK schule is the John F. Kennedy School in Teltower Damm in Berlin",69.5064516129032,88.5,36.3821778018097,0,100
4,22-11004,KLIMAWANDEL im Schulgarten,20.05.2022,9:50,11:51,"94233332",52.44391,13.27657,"52.44391, 13.27657",Berlin,"Molsheimer Str. 7, 14195 Berlin Steglitz- Zehlendorf","Muehlenau-Grundschule, im Schulgarten","Gras, Erde, Obstbaum, Mülleimer, Gewächshaus","19",lightly cloudy,half-shade,weak wind,,,40.5737179487179,33.5,28.9996852595199,0,100
5,22-11005,Käfer,25.05.2022,10:20,12:21,"94233342",52.422769,13.265704,"52.42276853960141, 13.265704271622663",Berlin,"Leo-Baeck-Straße 28-30, 14167 Berlin","Schweizerhof-Grundschule, neben sandigem Bolzplatz","Gebüsch, Sträucher, Bäume, sandig","16",lightly cloudy,half-shade,weak wind,,,26.7435897435897,19.5,26.9146018406728,0,100
6,22-11006,"A3 Rebecca, Chanelle",20.05.2022,10:35,,"94226718",52.501667,13.26,"52.501667, 13.26",Berlin,"Waldschulallee 71, 14055 Berlin",Heinz-Galinski-Schule,"sandig, Pflanzen","21.5",lightly cloudy,half-shade,weak wind,,sheet describing group tasks attached to data sheet,51.5495207667732,46,34.4755079257028,0,100
7,22-11007,Ameisen Safari,25.05.2022,10:00,12:00,"94233343",52.422818,13.265197,"52.422818, 13.265197",Berlin,"Leo-Baeck-Straße 28-30, 14167 Berlin","Schweizerhof-Grundschule; vor der Turnhalle","Baum, neben Busch, Erde, Ameisentunnel","16",lightly cloudy,half-shade,no wind,Obwohl 5 Ameisenbau in der Nähe sind keine Ameisen gekommen,,33.487012987013,22,30.5705989416168,0,100
8,22-11008,,31.05.2022,9:30,11:30,"94233323",52.64023,13.48823,"52.64023, 13.48823",Berlin,"Wiltbergstraße 82, 13125 Berlin",Montessori-Gemeinschaftsschule Berlin-Buch,Gras,"13",lightly cloudy,no shade,no wind,,top right corner: yellow round sticker,26.4870967741935,15,32.3910306375828,0,100
9,22-11009,Ameisen auf dem Schulhof,16.05.2022,9:02,11:02,"94226711",52.50195,13.489514,"52.501949563467335, 13.489514352243138",Berlin,"Lückstraße 63, 10317 Berlin","Immanuel-Kant-Gymnasium, Basketballplatz","Gebüsch, auf Erdfläche","15",no clouds,full shade,no wind,,"temperature: says 12, later 18",58.987012987013,65,37.0647883123079,0,100
10,22-11010,Bubble gum,20.05.2022,9:05,12:06,"94226825",,,,,,,unter Baum auf Wiese,"21",lightly cloudy,half-shade,weak wind,,"no info on location. Too many different schools did experiments on this day to say where it could be, there is nothing distinctive on the data sheet",,,,,
